ORDER-ID	CLASS
49916	no
49918	no
49920	yes
49921	no
49922	no
49925	no
49926	no
49932	no
49934	no
49936	no
49948	no
49950	no
49952	no
49954	no
49955	no
49958	no
49961	yes
49963	yes
49964	no
49966	yes
49969	no
49970	no
49971	no
49972	no
49976	no
49977	no
49978	no
49979	no
49980	yes
49982	no
49984	yes
49988	no
49990	no
49996	no
49628	no
49631	no
49633	no
49634	no
49635	no
49638	yes
49639	no
49642	no
49646	no
49647	no
49649	no
49650	no
49652	no
49653	yes
49655	yes
49662	no
49663	no
49664	no
49666	no
49667	no
49669	no
49672	no
49677	no
49679	yes
49680	no
49686	no
49690	yes
49692	no
49693	no
49697	no
49700	yes
49701	no
49703	no
49706	no
49707	no
49710	no
49713	no
49718	no
49719	no
49723	no
49724	no
49725	no
49726	no
49727	no
49733	no
49736	no
49737	no
49739	no
49741	no
49745	no
49747	no
49748	no
49750	no
49752	yes
49754	yes
49755	yes
49756	no
49757	no
49758	no
49759	no
49764	yes
49833	no
49834	no
49836	yes
49838	yes
49841	no
49847	no
49848	no
49850	no
49851	no
49855	no
49857	no
49858	yes
49862	yes
49865	no
49867	no
49868	no
49870	no
49871	no
49872	no
49875	no
49879	no
49883	no
49363	no
49364	no
49365	no
49366	no
49367	yes
49368	yes
49377	no
49381	no
49382	no
49386	no
49394	no
49395	no
49396	no
49398	no
49399	yes
49405	no
49407	no
49408	no
49410	no
49412	yes
49413	no
49415	yes
49416	yes
49423	no
49429	no
49433	yes
49434	yes
49436	no
49438	no
49439	no
49444	no
49445	no
49447	no
49448	no
49454	no
49455	no
49462	no
49464	no
49465	no
49466	no
49468	no
49469	yes
49473	yes
49474	no
49477	no
49482	no
49483	no
49485	no
49488	no
49490	no
49491	no
49493	no
49494	no
49497	no
49887	no
49889	yes
49890	no
49892	no
49893	no
49896	yes
49899	no
49901	no
49905	no
49907	no
49908	no
49911	no
49912	no
49913	no
49914	no
49915	no
45647	no
45648	no
45651	no
45653	no
45654	no
45655	no
45656	no
45657	no
45658	no
45659	no
45391	no
45392	yes
45395	no
45396	no
45397	no
45404	no
45407	no
45411	no
45414	yes
45417	no
45418	no
45425	no
45426	no
45433	no
45434	no
45435	yes
45436	no
45437	yes
45438	no
45439	yes
45442	no
45444	no
45447	no
45453	no
45454	no
45455	no
45456	no
45461	no
45467	no
45468	no
45470	no
45472	yes
45473	no
45474	no
45475	no
45477	no
45479	no
45481	no
45484	no
45485	yes
45488	no
45491	yes
45494	no
45495	no
45504	no
45505	no
45506	no
45508	yes
45510	no
45516	no
45517	no
45520	no
45522	no
45523	no
45524	no
45526	no
45529	no
45531	no
45532	no
45533	no
45534	no
45535	no
45537	no
45538	no
45541	no
45542	no
45544	no
45545	no
45551	no
45552	no
45554	no
45559	no
45560	no
45563	no
45565	no
45566	no
45567	no
45569	no
45570	yes
45571	no
45572	no
45573	no
45574	no
45576	no
45578	no
45582	no
45585	no
45589	no
45591	no
45594	no
45595	no
45597	no
45598	no
45599	yes
45600	no
45601	no
45607	no
45609	yes
45611	no
45613	yes
45614	no
45615	no
45617	no
45622	no
45623	no
45627	yes
45628	no
45632	no
45636	no
45638	no
45642	no
45645	yes
45132	no
45135	no
45137	no
45139	no
45141	no
45143	no
45146	no
45150	no
45154	no
45156	no
45158	yes
45159	yes
45160	no
45162	no
45166	no
45167	no
45168	no
45172	no
45176	no
45178	no
45182	no
45183	no
45186	no
45190	no
45192	no
45195	no
45198	no
45200	no
45208	no
45209	no
45210	yes
45211	no
45213	no
45215	no
45218	no
45219	no
45224	no
45225	no
45228	no
45229	no
45231	no
45233	no
45235	no
45237	no
45238	no
45239	no
45245	no
45251	no
45254	no
45259	no
45265	no
45266	yes
45267	no
45269	no
45271	no
45273	no
45274	no
45275	no
45276	no
45278	no
45279	no
45280	no
45284	no
45286	no
45287	yes
45288	no
45290	no
45293	no
45303	no
45311	no
45312	no
45314	no
45317	no
45318	no
45319	no
45320	no
45323	no
45324	no
45326	no
45327	no
45331	yes
45332	no
45333	no
45334	no
45336	yes
45337	yes
45338	no
45340	no
45341	no
45343	yes
45346	no
45348	no
45349	yes
45351	no
45353	no
45354	no
45359	no
45360	no
45361	no
45362	no
45365	no
45366	yes
45369	no
45373	no
45374	no
45375	yes
45380	yes
45381	no
45385	no
45386	no
45387	no
44873	no
44876	no
44877	no
44883	no
44885	no
44888	no
44889	no
44891	yes
44893	no
44900	no
44902	no
44909	no
44913	no
44915	yes
44917	no
44922	no
44925	no
44926	no
44931	no
44932	no
44934	no
44937	no
44938	no
44940	no
44942	yes
44946	no
44947	no
44950	no
44952	no
44953	no
44955	no
44958	no
44960	no
44961	no
44965	no
44968	no
44972	no
44974	yes
44975	no
44976	yes
44978	no
44982	no
44988	no
44993	no
44995	no
45007	no
45008	no
45010	no
45011	no
45012	no
45013	no
45014	no
45016	no
45020	no
45022	yes
45025	no
45028	no
45033	no
45034	no
45035	no
45037	no
45038	no
45039	no
45041	no
45043	no
45046	no
45047	yes
45049	no
45050	no
45060	no
45065	yes
45066	no
45067	no
45069	no
45070	yes
45073	no
45077	yes
45078	no
45080	no
45081	no
45084	no
45085	no
45090	no
45091	no
45095	no
45100	no
45102	yes
45103	no
45104	no
45106	no
45108	no
45109	no
45111	no
45115	no
