ORDER_ID,VALUE_ORDER,AMOUNT_ORDER,SESSION_TIME,CLASS_yes,B_EMAIL_yes,B_TELEFON_yes,FLAG_LRIDENTISCH_yes,FLAG_NEWSLETTER_yes,Z_METHODE_Eurocard,Z_METHODE_Visa,Z_METHODE_check,Z_METHODE_debit_card,Z_METHODE_debit_note,WEEKDAY_ORDER_Monday,WEEKDAY_ORDER_Saturday,WEEKDAY_ORDER_Sunday,WEEKDAY_ORDER_Thursday,WEEKDAY_ORDER_Tuesday,WEEKDAY_ORDER_Wednesday,CHK_LADR_yes,CHK_RADR_yes,CHK_KTO_yes,CHK_CARD_yes,CHK_COOKIE_yes,CHK_IP_yes,FAIL_LPLZ_yes,FAIL_LORT_yes,FAIL_LPLZORTMATCH_yes,FAIL_RPLZ_yes,FAIL_RORT_yes,FAIL_RPLZORTMATCH_yes,NEUKUNDE_yes
49917,0.03539325842696629,1,0.30434782608695654,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49919,0.03651685393258426,1,0.5217391304347826,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
49923,0.015730337078651686,1,0.08695652173913043,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49924,0.1384831460674157,1,0.4347826086956522,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49927,0.04154494382022471,1,0.6521739130434783,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49928,0.04985955056179775,1,0.30434782608695654,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49929,0.012921348314606741,1,0.5217391304347826,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49930,0.0345505617977528,1,0.26086956521739135,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49931,0.01345505617977528,1,0.34782608695652173,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49933,0.14775280898876403,1,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49935,0.4578370786516854,4,0.3913043478260869,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49937,0.03651685393258426,1,0.043478260869565216,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49938,0.1786516853932584,2,0.13043478260869565,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49939,0.04154494382022471,1,0.4347826086956522,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49940,0.1384831460674157,1,0.3913043478260869,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49941,0.012921348314606741,1,0.4782608695652174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49942,0.26207865168539324,2,0.043478260869565216,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49943,0.16657303370786516,1,0.4782608695652174,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49944,0.075,1,0.34782608695652173,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49945,0.051404494382022464,1,0.30434782608695654,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49946,0.04494382022471909,2,0.3913043478260869,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49947,0.1735955056179775,2,0.13043478260869565,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49949,0.0345505617977528,1,0.30434782608695654,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49951,0.11601123595505616,1,0.5652173913043479,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49953,0.28735955056179774,3,0.21739130434782608,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49956,0.21432584269662922,2,0.30434782608695654,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49957,0.1553370786516854,2,0.4782608695652174,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49959,0.13146067415730336,1,0.30434782608695654,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49960,0.20786516853932585,2,0.4347826086956522,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49962,0.01345505617977528,1,0.26086956521739135,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49965,0.0,1,0.043478260869565216,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49967,0.19775280898876402,2,0.26086956521739135,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49968,0.1384831460674157,1,0.26086956521739135,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49973,0.03735955056179775,1,0.3913043478260869,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
49974,0.09634831460674156,1,0.34782608695652173,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
49975,0.06629213483146067,2,0.043478260869565216,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49981,0.07752808988764044,1,0.08695652173913043,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49983,0.03592696629213482,1,0.17391304347826086,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49985,0.051404494382022464,1,0.26086956521739135,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
49986,0.06825842696629213,1,0.08695652173913043,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49987,0.0345505617977528,1,0.21739130434782608,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49989,0.03539325842696629,1,0.26086956521739135,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49991,0.015730337078651686,1,0.08695652173913043,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49992,0.1595505617977528,1,0.08695652173913043,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49993,0.09634831460674156,1,0.4347826086956522,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49994,0.1904494382022472,2,0.4347826086956522,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49995,0.04154494382022471,1,0.4347826086956522,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49997,0.05112359550561797,2,0.13043478260869565,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49998,0.01345505617977528,1,0.30434782608695654,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49999,0.3092696629213483,3,0.34782608695652173,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,0.07752808988764044,1,0.34782608695652173,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49623,0.17752808988764046,1,0.3913043478260869,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49624,0.04859550561797753,2,0.26086956521739135,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49625,0.04154494382022471,1,0.5652173913043479,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49626,0.3098314606741573,2,0.4347826086956522,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49627,0.322752808988764,3,0.13043478260869565,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49629,0.17752808988764046,1,0.17391304347826086,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49630,0.04154494382022471,1,0.21739130434782608,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
